llm_row_id,split,id,year,text_block,structured_context,llm_prompt,Default
0,validation,14489082,2014,title: Debt consolidation,"loan_amnt: 7200
purpose: debt_consolidation
emp_length: 8 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 7200
purpose: debt_consolidation
emp_length: 8 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
1,validation,12495903,2014,title: Credit card refinancing,"loan_amnt: 8000
purpose: credit_card
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 8000
purpose: credit_card
emp_length: 10+ years

Borrower text:
title: Credit card refinancing

Respond in JSON with keys:
- default_probability
- rationale",0
2,validation,35863416,2014,title: Major purchase,"loan_amnt: 7200
purpose: major_purchase
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 7200
purpose: major_purchase
emp_length: 10+ years

Borrower text:
title: Major purchase

Respond in JSON with keys:
- default_probability
- rationale",0
3,validation,35054622,2014,title: Credit card refinancing,"loan_amnt: 6000
purpose: credit_card
emp_length: NI","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 6000
purpose: credit_card
emp_length: NI

Borrower text:
title: Credit card refinancing

Respond in JSON with keys:
- default_probability
- rationale",0
4,validation,26879651,2014,title: Debt consolidation,"loan_amnt: 20000
purpose: debt_consolidation
emp_length: 7 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 20000
purpose: debt_consolidation
emp_length: 7 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
5,validation,13817333,2014,title: Major purchase,"loan_amnt: 35000
purpose: major_purchase
emp_length: 1 year","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 35000
purpose: major_purchase
emp_length: 1 year

Borrower text:
title: Major purchase

Respond in JSON with keys:
- default_probability
- rationale",0
6,validation,19786597,2014,title: Car financing,"loan_amnt: 14000
purpose: car
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 14000
purpose: car
emp_length: 10+ years

Borrower text:
title: Car financing

Respond in JSON with keys:
- default_probability
- rationale",0
7,validation,34332444,2014,title: Debt consolidation,"loan_amnt: 16800
purpose: debt_consolidation
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 16800
purpose: debt_consolidation
emp_length: 10+ years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
8,validation,11694742,2014,title: Debt consolidation,"loan_amnt: 16250
purpose: debt_consolidation
emp_length: 2 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 16250
purpose: debt_consolidation
emp_length: 2 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
9,validation,28252404,2014,title: Debt consolidation,"loan_amnt: 5000
purpose: debt_consolidation
emp_length: 2 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 5000
purpose: debt_consolidation
emp_length: 2 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
10,test,95009686,2016,title: Debt consolidation,"loan_amnt: 26875
purpose: debt_consolidation
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 26875
purpose: debt_consolidation
emp_length: 10+ years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
11,test,88694891,2016,title: Debt consolidation,"loan_amnt: 17600
purpose: debt_consolidation
emp_length: 4 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 17600
purpose: debt_consolidation
emp_length: 4 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",1
12,test,88524597,2016,title: Home improvement,"loan_amnt: 16550
purpose: home_improvement
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 16550
purpose: home_improvement
emp_length: 10+ years

Borrower text:
title: Home improvement

Respond in JSON with keys:
- default_probability
- rationale",0
13,test,96469443,2017,title: Debt consolidation,"loan_amnt: 20000
purpose: debt_consolidation
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 20000
purpose: debt_consolidation
emp_length: 10+ years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
14,test,63783577,2015,title: Home improvement,"loan_amnt: 18000
purpose: home_improvement
emp_length: 7 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 18000
purpose: home_improvement
emp_length: 7 years

Borrower text:
title: Home improvement

Respond in JSON with keys:
- default_probability
- rationale",0
15,test,77468300,2016,title: Debt consolidation,"loan_amnt: 1000
purpose: debt_consolidation
emp_length: 3 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 1000
purpose: debt_consolidation
emp_length: 3 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",1
16,test,127796530,2018,title: Other,"loan_amnt: 1000
purpose: other
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 1000
purpose: other
emp_length: 10+ years

Borrower text:
title: Other

Respond in JSON with keys:
- default_probability
- rationale",0
17,test,116271299,2017,title: Debt consolidation,"loan_amnt: 20000
purpose: debt_consolidation
emp_length: 10+ years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 20000
purpose: debt_consolidation
emp_length: 10+ years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
18,test,132767088,2018,title: Debt consolidation,"loan_amnt: 15000
purpose: debt_consolidation
emp_length: 5 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 15000
purpose: debt_consolidation
emp_length: 5 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
19,test,46825205,2015,title: Debt consolidation,"loan_amnt: 15000
purpose: debt_consolidation
emp_length: 5 years","You are evaluating the risk that a consumer loan will default.

Use the borrower-provided text and optional structured loan context below.
Estimate the probability of default as a number between 0 and 1.
Then briefly explain the reasoning using only the provided information.

Structured context:
loan_amnt: 15000
purpose: debt_consolidation
emp_length: 5 years

Borrower text:
title: Debt consolidation

Respond in JSON with keys:
- default_probability
- rationale",0
